"","output","output.1","output.2","output.3","output.4","output.5","output.6","output.7","output.8","output.9","output.10","output.11"
"320",12,0,0,0,0,0,0,0,0,0,0.0833333333333333,1487721600
"321",10,0.1,0.1,0,0.1,0,0.1,0,0,0.1,0,1487721600
"322",9,0,0,0,0,0,0,0,0,0,0.111111111111111,1487721600
"323",9,0.111111111111111,0.111111111111111,0,0.111111111111111,0.111111111111111,0.111111111111111,0,0.111111111111111,0.111111111111111,0.111111111111111,1487721600
"324",13,0.0769230769230769,0,0,0.0769230769230769,0,0.0769230769230769,0,0,0.0769230769230769,0,1487721600
"325",9,0,0,0,0,0,0,0,0,0,0.111111111111111,1487721600
"326",12,0,0.0833333333333333,0,0,0,0,0,0,0,0.166666666666667,1487721600
"327",8,0,0,0,0,0,0,0,0,0,0,1487721600
"328",11,0,0.0909090909090909,0,0,0,0,0,0,0,0.0909090909090909,1487721600
"329",8,0.125,0.125,0,0.125,0.125,0.125,0,0.125,0.125,0.125,1487721600
"330",7,0.142857142857143,0,0,0.142857142857143,0,0.142857142857143,0,0,0.142857142857143,0,1487721600
"331",10,0,0,0,0,0,0,0,0,0,0,1487721600
"332",3,0,0,0,0,0,0,0,0,0,0,1487721600
"333",12,0,0,0,0,0,0,0,0,0,0.0833333333333333,1487721600
"334",10,0,0.1,0,0,0,0,0,0,0,0,1487721600
"335",4,0,0,0,0,0,0,0,0,0,0,1487721600
"336",8,0,0,0,0,0,0,0,0,0,0,1487721600
"337",9,0,0,0,0,0,0,0,0,0,0,1487721600
"338",8,0.125,0.125,0,0.125,0.125,0,0.125,0.125,0,0.125,1487721600
"339",10,0,0,0,0.1,0,0.1,0.1,0,0.1,0.1,1487721600
"340",8,0,0,0,0,0.125,0.125,0.125,0,0.125,0.125,1487721600
"341",13,0,0,0,0,0,0,0,0,0,0.153846153846154,1487721600
"342",15,0,0,0,0,0,0,0,0,0,0.0666666666666667,1487721600
"343",13,0,0,0,0,0,0,0,0,0,0.153846153846154,1487721600
"344",9,0,0,0,0,0,0,0,0,0,0,1487721600
"345",6,0,0.166666666666667,0,0,0.166666666666667,0,0,0,0,0.166666666666667,1487721600
"346",12,0,0.0833333333333333,0,0.0833333333333333,0,0,0,0,0,0,1487721600
